"﻿VIODESCRIPTION",LOCATIONDESC1,ISSUEDATE,ISSUETIME,ObjectId,lat,lon
PARKING ON A DESIGNATED FIRE ROUTE,425 RATHBURN RD E,1/1/2021,10:36,1,43.6087621,-79.6324481
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,6160 NETHERHART RD,1/1/2021,10:43,2,43.6650509239781,-79.64396616219835
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,20 CEREMONIAL DR,1/1/2021,10:44,3,43.6083541,-79.657693
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,20 CEREMONIAL DR,1/1/2021,10:46,4,43.6083541,-79.657693
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,20 CEREMONIAL DR,1/1/2021,10:50,5,43.6083541,-79.657693
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,405 RATHBURN RD E,1/1/2021,11:15,6,43.608100247582236,-79.6318745125314
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,405 RATHBURN RD E,1/1/2021,11:20,7,43.608100247582236,-79.6318745125314
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,395 RATHBURN RD E,1/1/2021,11:21,8,43.6079846,-79.6321217
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,405 RATHBURN RD E,1/1/2021,11:25,9,43.608100247582236,-79.6318745125314
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,405 RATHBURN RD E,1/1/2021,11:26,10,43.608100247582236,-79.6318745125314
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,405 RATHBURN RD E,1/1/2021,11:33,11,43.608100247582236,-79.6318745125314
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,30 HANSON RD,1/1/2021,12:02,12,43.586158,-79.6257648643881
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,30 HANSON RD,1/1/2021,12:04,13,43.586158,-79.6257648643881
